Bug_ID,Sprint,Release_Version,Module,Feature,Component,Bug_Title,Bug_Description,Steps_To_Reproduce,Expected_Result,Actual_Result,Severity,Priority,Bug_Type,Status,Lifecycle_Stage,Reporter,QA_Engineer,Assigned_To,Team,Environment,Operating_System,Browser,Device,App_Version,Date_Reported,Date_Assigned,Date_Fixed,Date_Retested,Date_Closed,Resolution,Root_Cause,Resolution_Time_Hours,Comments,Duplicate_Of,bug1,bug2,duplicate,Similarity_Score
BUG-1057,Sprint-5,v2.7.1,Checkout,Checkout Feature,Checkout Component,Checkout Feature Does Not Respond,Checkout feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,High,P3,Validation,Verified,Open,Kiran,Nisha,Deepak,QA,Development,Ubuntu 24.04,Chrome,Laptop,2.0,2026-02-26,2026-02-27,2026-03-01,2026-03-02,2026-03-03,Duplicate,Code defect,27,Verified by QA,BUG-1027,Checkout feature does not respond,Issue where checkout does not respond,1,0.87
BUG-1058,Sprint-5,v2.1.4,Search,Search Feature,Search Component,Search Feature Crashes,Search feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,Low,P4,UI,Verified,Open,Anil,Nisha,Rahul,QA,Development,Windows 11,Edge,Laptop,2.0,2026-02-27,2026-02-28,2026-03-02,2026-03-03,2026-03-04,Duplicate,Code defect,5,Verified by QA,BUG-1008,Search feature crashes,Issue where search crashes,1,0.94
BUG-1059,Sprint-4,v2.3.3,Scanner,Scanner Feature,Scanner Component,Scanner Feature Does Not Respond,Scanner feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,Low,P3,Crash,Fixed,Open,Priya,Nisha,Sai,Mobile,Production,Ubuntu 24.04,Safari,Laptop,2.0,2026-02-28,2026-03-01,2026-03-03,2026-03-04,2026-03-05,Duplicate,Code defect,45,Verified by QA,BUG-1059,Scanner feature does not respond,Issue where scanner does not respond,1,0.98
BUG-1060,Sprint-4,v2.0.3,Camera,Camera Feature,Camera Component,Camera Feature Duplicates Records,Camera feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Critical,P3,UI,Closed,Open,Kiran,Harsha,Arjun,QA,Development,Ubuntu 24.04,Firefox,Laptop,2.0,2026-03-01,2026-03-02,2026-03-04,2026-03-05,2026-03-06,Fixed,Code defect,46,Verified by QA,,Camera feature duplicates records,Application fails to upload in Login,0,0.24
BUG-1061,Sprint-2,v2.4.5,Camera,Camera Feature,Camera Component,Camera Feature Fails To Save,Camera feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,Medium,P1,UI,Fixed,Open,Vamsi,Sneha,Rahul,QA,Production,Ubuntu 24.04,Firefox,Laptop,2.0,2026-03-02,2026-03-03,2026-03-05,2026-03-06,2026-03-07,Fixed,Code defect,45,Verified by QA,,Camera feature fails to save,Application fails to upload in Calendar,0,0.24
BUG-1062,Sprint-6,v2.7.2,Download,Download Feature,Download Component,Download Feature Returns Error 500,Download feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Medium,P1,Performance,Closed,Open,Kiran,Pooja,Amit,QA,Production,Ubuntu 24.04,Edge,Laptop,2.0,2026-03-03,2026-03-04,2026-03-06,2026-03-07,2026-03-08,Fixed,Code defect,4,Verified by QA,,Download feature returns error 500,Application fails to upload in Reports,0,0.29
BUG-1063,Sprint-10,v2.9.3,Profile,Profile Feature,Profile Component,Profile Feature Fails To Upload,Profile feature fails to upload,Open module > Perform action > Observe issue,Feature should work correctly,fails to upload,Medium,P2,Performance,In Progress,Open,Vamsi,Harsha,Amit,Backend,Development,Ubuntu 24.04,Safari,Laptop,2.0,2026-03-04,2026-03-05,2026-03-07,2026-03-08,2026-03-09,Fixed,Code defect,11,Verified by QA,,Profile feature fails to upload,Application fails to upload in Chat,0,0.52
BUG-1064,Sprint-8,v2.5.5,Maps,Maps Feature,Maps Component,Maps Feature Freezes,Maps feature freezes,Open module > Perform action > Observe issue,Feature should work correctly,freezes,Low,P1,Performance,Open,Open,Anil,Nisha,Rahul,QA,QA,iOS 18,Chrome,Laptop,2.0,2026-03-05,2026-03-06,2026-03-08,2026-03-09,2026-03-10,Duplicate,Code defect,11,Verified by QA,BUG-1022,Maps feature freezes,Issue where maps freezes,1,0.96
BUG-1065,Sprint-10,v2.4.3,Notification,Notification Feature,Notification Component,Notification Feature Does Not Respond,Notification feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,Medium,P1,UI,Fixed,Open,Vamsi,Nisha,Amit,QA,Development,iOS 18,Firefox,Laptop,2.0,2026-03-06,2026-03-07,2026-03-09,2026-03-10,2026-03-11,Duplicate,Code defect,33,Verified by QA,BUG-1033,Notification feature does not respond,Issue where notification does not respond,1,0.98
BUG-1066,Sprint-5,v2.7.5,Backup,Backup Feature,Backup Component,Backup Feature Returns Error 500,Backup feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Critical,P2,Database,New,Open,Anil,Sneha,Rahul,Mobile,Production,Android 14,Chrome,Laptop,2.0,2026-03-07,2026-03-08,2026-03-10,2026-03-11,2026-03-12,Duplicate,Code defect,16,Verified by QA,BUG-1047,Backup feature returns error 500,Issue where backup returns error 500,1,0.97
BUG-1067,Sprint-2,v2.6.3,Settings,Settings Feature,Settings Component,Settings Feature Shows Blank Screen,Settings feature shows blank screen,Open module > Perform action > Observe issue,Feature should work correctly,shows blank screen,Critical,P4,API,New,Open,Kiran,Nisha,Sai,QA,Production,iOS 18,Firefox,Laptop,2.0,2026-03-08,2026-03-09,2026-03-11,2026-03-12,2026-03-13,Fixed,Code defect,46,Verified by QA,,Settings feature shows blank screen,Application freezes in Analytics,0,0.45
BUG-1068,Sprint-1,v2.5.0,Reports,Reports Feature,Reports Component,Reports Feature Does Not Respond,Reports feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,Low,P3,Crash,Retest,Open,Anil,Pooja,Amit,Frontend,Production,Android 14,Safari,Laptop,2.0,2026-03-09,2026-03-10,2026-03-12,2026-03-13,2026-03-14,Fixed,Code defect,6,Verified by QA,,Reports feature does not respond,Application does not respond in Camera,0,0.46
BUG-1069,Sprint-1,v2.5.4,Invoice,Invoice Feature,Invoice Component,Invoice Feature Duplicates Records,Invoice feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,High,P1,Validation,Closed,Open,Anil,Nisha,Rahul,Backend,Development,Ubuntu 24.04,Edge,Laptop,2.0,2026-03-10,2026-03-11,2026-03-13,2026-03-14,2026-03-15,Duplicate,Code defect,41,Verified by QA,BUG-1026,Invoice feature duplicates records,Issue where invoice duplicates records,1,0.8
BUG-1070,Sprint-7,v2.7.5,Settings,Settings Feature,Settings Component,Settings Feature Fails To Save,Settings feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,Medium,P1,Crash,Retest,Open,Anil,Nisha,Sai,DevOps,Development,Windows 11,Safari,Laptop,2.0,2026-03-11,2026-03-12,2026-03-14,2026-03-15,2026-03-16,Fixed,Code defect,5,Verified by QA,,Settings feature fails to save,Application crashes in Invoice,0,0.54
BUG-1071,Sprint-4,v2.4.4,Sync,Sync Feature,Sync Component,Sync Feature Shows Blank Screen,Sync feature shows blank screen,Open module > Perform action > Observe issue,Feature should work correctly,shows blank screen,High,P3,Crash,Open,Open,Vamsi,Nisha,Arjun,Mobile,Production,Android 14,Firefox,Laptop,2.0,2026-03-12,2026-03-13,2026-03-15,2026-03-16,2026-03-17,Duplicate,Code defect,5,Verified by QA,BUG-1029,Sync feature shows blank screen,Issue where sync shows blank screen,1,0.91
BUG-1072,Sprint-8,v2.6.3,Search,Search Feature,Search Component,Search Feature Fails To Save,Search feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,Critical,P1,Performance,In Progress,Open,Ravi,Harsha,Arjun,Backend,Development,iOS 18,Chrome,Laptop,2.0,2026-03-13,2026-03-14,2026-03-16,2026-03-17,2026-03-18,Duplicate,Code defect,40,Verified by QA,BUG-1051,Search feature fails to save,Issue where search fails to save,1,0.9
BUG-1073,Sprint-4,v2.1.4,Calendar,Calendar Feature,Calendar Component,Calendar Feature Freezes,Calendar feature freezes,Open module > Perform action > Observe issue,Feature should work correctly,freezes,Medium,P3,Database,Verified,Open,Ravi,Harsha,Sai,Frontend,Development,Windows 11,Safari,Laptop,2.0,2026-03-14,2026-03-15,2026-03-17,2026-03-18,2026-03-19,Fixed,Code defect,38,Verified by QA,,Calendar feature freezes,Application returns error 500 in Search,0,0.46
BUG-1074,Sprint-6,v2.2.4,Reports,Reports Feature,Reports Component,Reports Feature Fails To Upload,Reports feature fails to upload,Open module > Perform action > Observe issue,Feature should work correctly,fails to upload,Critical,P4,Validation,Closed,Open,Vamsi,Pooja,Rahul,Frontend,QA,Ubuntu 24.04,Firefox,Laptop,2.0,2026-03-15,2026-03-16,2026-03-18,2026-03-19,2026-03-20,Fixed,Code defect,19,Verified by QA,,Reports feature fails to upload,Application loads slowly in Calendar,0,0.2
BUG-1075,Sprint-8,v2.3.0,Calendar,Calendar Feature,Calendar Component,Calendar Feature Freezes,Calendar feature freezes,Open module > Perform action > Observe issue,Feature should work correctly,freezes,Low,P2,Crash,Fixed,Open,Anil,Sneha,Arjun,Frontend,QA,Android 14,Safari,Laptop,2.0,2026-03-16,2026-03-17,2026-03-19,2026-03-20,2026-03-21,Fixed,Code defect,28,Verified by QA,,Calendar feature freezes,Application duplicates records in Dashboard,0,0.39
BUG-1076,Sprint-1,v2.8.2,Reports,Reports Feature,Reports Component,Reports Feature Fails To Upload,Reports feature fails to upload,Open module > Perform action > Observe issue,Feature should work correctly,fails to upload,Critical,P3,API,Retest,Open,Vamsi,Harsha,Rahul,QA,Development,Windows 11,Edge,Laptop,2.0,2026-03-17,2026-03-18,2026-03-20,2026-03-21,2026-03-22,Duplicate,Code defect,10,Verified by QA,BUG-1014,Reports feature fails to upload,Issue where reports fails to upload,1,0.88
BUG-1077,Sprint-7,v2.3.1,Settings,Settings Feature,Settings Component,Settings Feature Duplicates Records,Settings feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Low,P4,Database,New,Open,Vamsi,Harsha,Arjun,Backend,QA,Windows 11,Firefox,Laptop,2.0,2026-03-18,2026-03-19,2026-03-21,2026-03-22,2026-03-23,Duplicate,Code defect,37,Verified by QA,BUG-1077,Settings feature duplicates records,Issue where settings duplicates records,1,0.83
BUG-1078,Sprint-3,v2.6.2,Invoice,Invoice Feature,Invoice Component,Invoice Feature Shows Blank Screen,Invoice feature shows blank screen,Open module > Perform action > Observe issue,Feature should work correctly,shows blank screen,Low,P1,Validation,Verified,Open,Anil,Harsha,Deepak,Mobile,UAT,Android 14,Firefox,Laptop,2.0,2026-03-19,2026-03-20,2026-03-22,2026-03-23,2026-03-24,Fixed,Code defect,16,Verified by QA,,Invoice feature shows blank screen,Application shows blank screen in Calendar,0,0.43
BUG-1079,Sprint-3,v2.1.1,Checkout,Checkout Feature,Checkout Component,Checkout Feature Shows Blank Screen,Checkout feature shows blank screen,Open module > Perform action > Observe issue,Feature should work correctly,shows blank screen,Medium,P2,Validation,Fixed,Open,Kiran,Harsha,Amit,QA,Production,Android 14,Safari,Laptop,2.0,2026-03-20,2026-03-21,2026-03-23,2026-03-24,2026-03-25,Fixed,Code defect,24,Verified by QA,,Checkout feature shows blank screen,Application returns error 500 in Sync,0,0.51
BUG-1080,Sprint-3,v2.6.5,Camera,Camera Feature,Camera Component,Camera Feature Crashes,Camera feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,Medium,P2,Crash,Verified,Open,Ravi,Pooja,Sai,QA,Production,Windows 11,Edge,Laptop,2.0,2026-03-21,2026-03-22,2026-03-24,2026-03-25,2026-03-26,Duplicate,Code defect,26,Verified by QA,BUG-1035,Camera feature crashes,Issue where camera crashes,1,0.87
BUG-1081,Sprint-10,v2.7.0,Reports,Reports Feature,Reports Component,Reports Feature Fails To Save,Reports feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,High,P4,Database,Closed,Open,Priya,Pooja,Amit,QA,Production,iOS 18,Edge,Laptop,2.0,2026-03-22,2026-03-23,2026-03-25,2026-03-26,2026-03-27,Duplicate,Code defect,41,Verified by QA,BUG-1036,Reports feature fails to save,Issue where reports fails to save,1,0.81
BUG-1082,Sprint-7,v2.4.5,Sync,Sync Feature,Sync Component,Sync Feature Freezes,Sync feature freezes,Open module > Perform action > Observe issue,Feature should work correctly,freezes,Critical,P2,Functional,Open,Open,Priya,Nisha,Sai,DevOps,UAT,iOS 18,Edge,Laptop,2.0,2026-03-23,2026-03-24,2026-03-26,2026-03-27,2026-03-28,Fixed,Code defect,16,Verified by QA,,Sync feature freezes,Application cannot open in Sync,0,0.37
BUG-1083,Sprint-8,v2.2.3,Upload,Upload Feature,Upload Component,Upload Feature Cannot Open,Upload feature cannot open,Open module > Perform action > Observe issue,Feature should work correctly,cannot open,High,P1,Security,Open,Open,Priya,Sneha,Rahul,DevOps,QA,Ubuntu 24.04,Edge,Laptop,2.0,2026-03-24,2026-03-25,2026-03-27,2026-03-28,2026-03-29,Fixed,Code defect,45,Verified by QA,,Upload feature cannot open,Application returns error 500 in Backup,0,0.27
BUG-1084,Sprint-10,v2.9.1,Profile,Profile Feature,Profile Component,Profile Feature Fails To Upload,Profile feature fails to upload,Open module > Perform action > Observe issue,Feature should work correctly,fails to upload,High,P3,Security,Fixed,Open,Kiran,Pooja,Amit,QA,Production,iOS 18,Firefox,Laptop,2.0,2026-03-25,2026-03-26,2026-03-28,2026-03-29,2026-03-30,Fixed,Code defect,35,Verified by QA,,Profile feature fails to upload,Application crashes in Profile,0,0.25
BUG-1085,Sprint-5,v2.6.3,Analytics,Analytics Feature,Analytics Component,Analytics Feature Fails To Save,Analytics feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,High,P4,Performance,Closed,Open,Vamsi,Harsha,Amit,Mobile,QA,Ubuntu 24.04,Firefox,Laptop,2.0,2026-03-26,2026-03-27,2026-03-29,2026-03-30,2026-03-31,Fixed,Code defect,28,Verified by QA,,Analytics feature fails to save,Application returns error 500 in Login,0,0.21
BUG-1086,Sprint-8,v2.4.0,Camera,Camera Feature,Camera Component,Camera Feature Freezes,Camera feature freezes,Open module > Perform action > Observe issue,Feature should work correctly,freezes,Medium,P4,API,Closed,Open,Priya,Sneha,Rahul,DevOps,UAT,Android 14,Chrome,Laptop,2.0,2026-03-27,2026-03-28,2026-03-30,2026-03-31,2026-04-01,Duplicate,Code defect,16,Verified by QA,BUG-1028,Camera feature freezes,Issue where camera freezes,1,0.93
BUG-1087,Sprint-4,v2.9.3,Reports,Reports Feature,Reports Component,Reports Feature Duplicates Records,Reports feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,High,P3,API,New,Open,Anil,Harsha,Amit,Backend,Development,Android 14,Safari,Laptop,2.0,2026-03-28,2026-03-29,2026-03-31,2026-04-01,2026-04-02,Duplicate,Code defect,4,Verified by QA,BUG-1048,Reports feature duplicates records,Issue where reports duplicates records,1,0.81
BUG-1088,Sprint-4,v2.8.5,Maps,Maps Feature,Maps Component,Maps Feature Shows Blank Screen,Maps feature shows blank screen,Open module > Perform action > Observe issue,Feature should work correctly,shows blank screen,Critical,P4,API,Retest,Open,Ravi,Harsha,Sai,Frontend,QA,Android 14,Firefox,Laptop,2.0,2026-03-29,2026-03-30,2026-04-01,2026-04-02,2026-04-03,Duplicate,Code defect,39,Verified by QA,BUG-1077,Maps feature shows blank screen,Issue where maps shows blank screen,1,0.93
BUG-1089,Sprint-7,v2.2.1,Invoice,Invoice Feature,Invoice Component,Invoice Feature Loads Slowly,Invoice feature loads slowly,Open module > Perform action > Observe issue,Feature should work correctly,loads slowly,Low,P3,Crash,Closed,Open,Vamsi,Sneha,Amit,Mobile,Development,iOS 18,Firefox,Laptop,2.0,2026-03-30,2026-03-31,2026-04-02,2026-04-03,2026-04-04,Fixed,Code defect,8,Verified by QA,,Invoice feature loads slowly,Application duplicates records in Payment,0,0.16
BUG-1090,Sprint-2,v2.0.4,Checkout,Checkout Feature,Checkout Component,Checkout Feature Returns Error 500,Checkout feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Medium,P4,Database,Retest,Open,Anil,Sneha,Sai,QA,QA,Android 14,Safari,Laptop,2.0,2026-03-31,2026-04-01,2026-04-03,2026-04-04,2026-04-05,Duplicate,Code defect,37,Verified by QA,BUG-1073,Checkout feature returns error 500,Issue where checkout returns error 500,1,0.9
BUG-1091,Sprint-2,v2.9.0,Payment,Payment Feature,Payment Component,Payment Feature Cannot Open,Payment feature cannot open,Open module > Perform action > Observe issue,Feature should work correctly,cannot open,Medium,P2,Functional,In Progress,Open,Ravi,Nisha,Rahul,Mobile,Production,Ubuntu 24.04,Firefox,Laptop,2.0,2026-01-01,2026-01-02,2026-01-04,2026-01-05,2026-01-06,Fixed,Code defect,10,Verified by QA,,Payment feature cannot open,Application fails to upload in Invoice,0,0.22
BUG-1092,Sprint-4,v2.7.2,Notification,Notification Feature,Notification Component,Notification Feature Returns Error 500,Notification feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Low,P1,Database,Fixed,Open,Ravi,Harsha,Amit,DevOps,UAT,Windows 11,Edge,Laptop,2.0,2026-01-02,2026-01-03,2026-01-05,2026-01-06,2026-01-07,Fixed,Code defect,16,Verified by QA,,Notification feature returns error 500,Application crashes in Payment,0,0.33
BUG-1093,Sprint-7,v2.5.5,Backup,Backup Feature,Backup Component,Backup Feature Loads Slowly,Backup feature loads slowly,Open module > Perform action > Observe issue,Feature should work correctly,loads slowly,Medium,P1,Functional,In Progress,Open,Anil,Sneha,Arjun,QA,QA,Ubuntu 24.04,Chrome,Laptop,2.0,2026-01-03,2026-01-04,2026-01-06,2026-01-07,2026-01-08,Duplicate,Code defect,23,Verified by QA,BUG-1016,Backup feature loads slowly,Issue where backup loads slowly,1,0.94
BUG-1094,Sprint-9,v2.4.1,Login,Login Feature,Login Component,Login Feature Returns Error 500,Login feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Medium,P2,UI,New,Open,Ravi,Harsha,Deepak,QA,Development,iOS 18,Chrome,Laptop,2.0,2026-01-04,2026-01-05,2026-01-07,2026-01-08,2026-01-09,Duplicate,Code defect,45,Verified by QA,BUG-1080,Login feature returns error 500,Issue where login returns error 500,1,0.89
BUG-1095,Sprint-2,v2.4.1,Download,Download Feature,Download Component,Download Feature Does Not Respond,Download feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,Critical,P3,UI,In Progress,Open,Anil,Nisha,Sai,Frontend,Production,Ubuntu 24.04,Chrome,Laptop,2.0,2026-01-05,2026-01-06,2026-01-08,2026-01-09,2026-01-10,Fixed,Code defect,36,Verified by QA,,Download feature does not respond,Application duplicates records in Reports,0,0.19
BUG-1096,Sprint-9,v2.4.3,Dashboard,Dashboard Feature,Dashboard Component,Dashboard Feature Returns Error 500,Dashboard feature returns error 500,Open module > Perform action > Observe issue,Feature should work correctly,returns error 500,Critical,P1,Validation,Closed,Open,Vamsi,Harsha,Deepak,Backend,Development,Windows 11,Chrome,Laptop,2.0,2026-01-06,2026-01-07,2026-01-09,2026-01-10,2026-01-11,Duplicate,Code defect,43,Verified by QA,BUG-1004,Dashboard feature returns error 500,Issue where dashboard returns error 500,1,0.88
BUG-1097,Sprint-6,v2.1.3,Payment,Payment Feature,Payment Component,Payment Feature Fails To Upload,Payment feature fails to upload,Open module > Perform action > Observe issue,Feature should work correctly,fails to upload,Medium,P3,Performance,Closed,Open,Vamsi,Nisha,Rahul,Backend,Production,iOS 18,Chrome,Laptop,2.0,2026-01-07,2026-01-08,2026-01-10,2026-01-11,2026-01-12,Duplicate,Code defect,31,Verified by QA,BUG-1041,Payment feature fails to upload,Issue where payment fails to upload,1,0.81
BUG-1098,Sprint-3,v2.2.5,Maps,Maps Feature,Maps Component,Maps Feature Cannot Open,Maps feature cannot open,Open module > Perform action > Observe issue,Feature should work correctly,cannot open,Medium,P3,Security,Fixed,Open,Vamsi,Sneha,Rahul,Backend,Development,iOS 18,Chrome,Laptop,2.0,2026-01-08,2026-01-09,2026-01-11,2026-01-12,2026-01-13,Duplicate,Code defect,21,Verified by QA,BUG-1047,Maps feature cannot open,Issue where maps cannot open,1,0.81
BUG-1099,Sprint-1,v2.4.1,Upload,Upload Feature,Upload Component,Upload Feature Crashes,Upload feature crashes,Open module > Perform action > Observe issue,Feature should work correctly,crashes,Low,P3,Database,Closed,Open,Vamsi,Sneha,Rahul,Mobile,Production,iOS 18,Firefox,Laptop,2.0,2026-01-09,2026-01-10,2026-01-12,2026-01-13,2026-01-14,Duplicate,Code defect,24,Verified by QA,BUG-1052,Upload feature crashes,Issue where upload crashes,1,0.81
BUG-1100,Sprint-10,v2.3.3,Dashboard,Dashboard Feature,Dashboard Component,Dashboard Feature Cannot Open,Dashboard feature cannot open,Open module > Perform action > Observe issue,Feature should work correctly,cannot open,Medium,P3,Performance,Verified,Open,Anil,Nisha,Arjun,Backend,QA,iOS 18,Safari,Laptop,2.0,2026-01-10,2026-01-11,2026-01-13,2026-01-14,2026-01-15,Fixed,Code defect,42,Verified by QA,,Dashboard feature cannot open,Application duplicates records in Download,0,0.5
BUG-1101,Sprint-7,v2.9.2,Invoice,Invoice Feature,Invoice Component,Invoice Feature Loads Slowly,Invoice feature loads slowly,Open module > Perform action > Observe issue,Feature should work correctly,loads slowly,Low,P4,Functional,Verified,Open,Kiran,Sneha,Deepak,QA,UAT,Ubuntu 24.04,Chrome,Laptop,2.0,2026-01-11,2026-01-12,2026-01-14,2026-01-15,2026-01-16,Fixed,Code defect,33,Verified by QA,,Invoice feature loads slowly,Application shows blank screen in Checkout,0,0.43
BUG-1102,Sprint-9,v2.6.2,Maps,Maps Feature,Maps Component,Maps Feature Fails To Save,Maps feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,Low,P1,Validation,Retest,Open,Ravi,Nisha,Amit,Frontend,UAT,Ubuntu 24.04,Firefox,Laptop,2.0,2026-01-12,2026-01-13,2026-01-15,2026-01-16,2026-01-17,Fixed,Code defect,3,Verified by QA,,Maps feature fails to save,Application does not respond in Sync,0,0.29
BUG-1103,Sprint-3,v2.4.0,Chat,Chat Feature,Chat Component,Chat Feature Fails To Save,Chat feature fails to save,Open module > Perform action > Observe issue,Feature should work correctly,fails to save,High,P4,Security,Open,Open,Priya,Nisha,Rahul,DevOps,Production,Windows 11,Firefox,Laptop,2.0,2026-01-13,2026-01-14,2026-01-16,2026-01-17,2026-01-18,Duplicate,Code defect,3,Verified by QA,BUG-1049,Chat feature fails to save,Issue where chat fails to save,1,0.85
BUG-1104,Sprint-10,v2.8.3,Reports,Reports Feature,Reports Component,Reports Feature Shows Blank Screen,Reports feature shows blank screen,Open module > Perform action > Observe issue,Feature should work correctly,shows blank screen,High,P2,Functional,Open,Open,Kiran,Harsha,Sai,Mobile,QA,iOS 18,Chrome,Laptop,2.0,2026-01-14,2026-01-15,2026-01-17,2026-01-18,2026-01-19,Fixed,Code defect,44,Verified by QA,,Reports feature shows blank screen,Application loads slowly in Upload,0,0.26
BUG-1105,Sprint-9,v2.6.2,Profile,Profile Feature,Profile Component,Profile Feature Does Not Respond,Profile feature does not respond,Open module > Perform action > Observe issue,Feature should work correctly,does not respond,Critical,P3,Performance,New,Open,Priya,Pooja,Deepak,Frontend,Development,Windows 11,Chrome,Laptop,2.0,2026-01-15,2026-01-16,2026-01-18,2026-01-19,2026-01-20,Duplicate,Code defect,26,Verified by QA,BUG-1006,Profile feature does not respond,Issue where profile does not respond,1,0.99
BUG-1106,Sprint-4,v2.1.0,Maps,Maps Feature,Maps Component,Maps Feature Loads Slowly,Maps feature loads slowly,Open module > Perform action > Observe issue,Feature should work correctly,loads slowly,Low,P3,Functional,Verified,Open,Ravi,Sneha,Arjun,QA,Development,Windows 11,Firefox,Laptop,2.0,2026-01-16,2026-01-17,2026-01-19,2026-01-20,2026-01-21,Duplicate,Code defect,47,Verified by QA,BUG-1021,Maps feature loads slowly,Issue where maps loads slowly,1,0.83
BUG-1107,Sprint-4,v2.9.1,Reports,Reports Feature,Reports Component,Reports Feature Duplicates Records,Reports feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Critical,P3,Performance,Open,Open,Ravi,Harsha,Deepak,Frontend,QA,iOS 18,Safari,Laptop,2.0,2026-01-17,2026-01-18,2026-01-20,2026-01-21,2026-01-22,Duplicate,Code defect,17,Verified by QA,BUG-1020,Reports feature duplicates records,Issue where reports duplicates records,1,0.97
BUG-1108,Sprint-4,v2.9.2,Payment,Payment Feature,Payment Component,Payment Feature Fails To Upload,Payment feature fails to upload,Open module > Perform action > Observe issue,Feature should work correctly,fails to upload,High,P3,UI,Verified,Open,Anil,Nisha,Rahul,Mobile,Development,Windows 11,Chrome,Laptop,2.0,2026-01-18,2026-01-19,2026-01-21,2026-01-22,2026-01-23,Duplicate,Code defect,30,Verified by QA,BUG-1010,Payment feature fails to upload,Issue where payment fails to upload,1,1.0
BUG-1109,Sprint-6,v2.0.3,Camera,Camera Feature,Camera Component,Camera Feature Duplicates Records,Camera feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Critical,P2,UI,Retest,Open,Kiran,Nisha,Arjun,QA,UAT,Windows 11,Edge,Laptop,2.0,2026-01-19,2026-01-20,2026-01-22,2026-01-23,2026-01-24,Duplicate,Code defect,46,Verified by QA,BUG-1055,Camera feature duplicates records,Issue where camera duplicates records,1,0.9
BUG-1110,Sprint-9,v2.0.4,Profile,Profile Feature,Profile Component,Profile Feature Cannot Open,Profile feature cannot open,Open module > Perform action > Observe issue,Feature should work correctly,cannot open,Critical,P4,API,Assigned,Open,Kiran,Sneha,Amit,QA,Production,Ubuntu 24.04,Safari,Laptop,2.0,2026-01-20,2026-01-21,2026-01-23,2026-01-24,2026-01-25,Duplicate,Code defect,20,Verified by QA,BUG-1031,Profile feature cannot open,Issue where profile cannot open,1,0.86
BUG-1111,Sprint-9,v2.5.0,Maps,Maps Feature,Maps Component,Maps Feature Freezes,Maps feature freezes,Open module > Perform action > Observe issue,Feature should work correctly,freezes,High,P3,API,Verified,Open,Vamsi,Nisha,Rahul,Mobile,Production,Windows 11,Chrome,Laptop,2.0,2026-01-21,2026-01-22,2026-01-24,2026-01-25,2026-01-26,Fixed,Code defect,27,Verified by QA,,Maps feature freezes,Application crashes in Calendar,0,0.28
BUG-1112,Sprint-10,v2.3.4,Backup,Backup Feature,Backup Component,Backup Feature Duplicates Records,Backup feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Low,P2,Performance,New,Open,Vamsi,Harsha,Sai,Frontend,Production,iOS 18,Safari,Laptop,2.0,2026-01-22,2026-01-23,2026-01-25,2026-01-26,2026-01-27,Fixed,Code defect,39,Verified by QA,,Backup feature duplicates records,Application shows blank screen in Login,0,0.44
BUG-1113,Sprint-10,v2.8.3,Payment,Payment Feature,Payment Component,Payment Feature Duplicates Records,Payment feature duplicates records,Open module > Perform action > Observe issue,Feature should work correctly,duplicates records,Low,P2,Validation,Closed,Open,Kiran,Pooja,Rahul,DevOps,UAT,Ubuntu 24.04,Chrome,Laptop,2.0,2026-01-23,2026-01-24,2026-01-26,2026-01-27,2026-01-28,Duplicate,Code defect,8,Verified by QA,BUG-1016,Payment feature duplicates records,Issue where payment duplicates records,1,0.86
